id 값,제목,분류,프로젝트 시작,프로젝트 종류,상세 내용,제안의 시작,주요제안(문제정의),해결방안,링크,미추진 사유,공감투표 참여안내,참고자료
jejudsi_RP0K,제주도 유기동물 제로 만들기 프로젝트 - 반려동물 바이오(코주름) 등록,농축수산,2022-01-20,기간종료,," 제안의 시작""2020년 제주도 유기동물 발생건수 7047건, 안락사율 57.8% (전국 1위)""사람과 자연이 공존하는 청정제주, 과연 현재 제주도는 반려동물과 공존하고 있는가요?		"," 주요제안(문제정의)			""2020년 제주도 유기동물 발생건수 7047건, 안락사율 57.8% (전국 1위)""사람과 자연이 공존하는 청정제주, 과연 현재 제주도는 반려동물과 공존하고 있는가요?우리는 좀 더 객관적 데이터를 얻기 위해 다음과 같은 빅데이터 분석과 설문조사를 실시하였습니다.#1 제주도 입도객과 유기동물 발생 사이의 빅데이터 분석 - 2019년~2020년 JDC(제주국제자유도시개발센터) 면세점 출도객 및 농림축산식품부 유기동물 데이터 기반 분석-> 입도객과 유기동물 사이에 유의미한 상관관계 입증(피어슨 상관계수 0.5)#2 유기동물을 방지하기 위해 제주도에서 현재 시행 중인 ""사육포기제""  관련 설문 조사 실시(사육포기제란? 양육자가 사육을 포기한 동물을 제주도에서 인수하여 동물보호소로 보내어 유기를 사전에 방지하는 제도) (1) 현행 사육포기제에 대한 인지도 매우 낮음 : 30% 미만(2) 현행 사육포기제 이용 의사 낮음 : 55%(3) 동물보호소에서 57.8%라는 높은 안락사율 문제에 대한 우려 : 82.4%(동물보호소에서 10일 이상 입양이 안 될 경우 안락사 대상 전환)-> 사육포기제도는 유기방지에 효과적인 수단이 아님",,https://jejudsi.kr/issue/Rp0K/PROJECT,[],503500공감투표500표 달성되어 프로젝트화에 도전합니다.  공감투표기간 : 2022-01-20 ~ 2022-03-21공감투표 달성 기간 경과,
jejudsi_LXGE,,농축수산,,기간종료,,,,,https://jejudsi.kr/issue/LxGe/PROJECT,[],,
jejudsi_L4BP,,농축수산,,기간종료,,,,,https://jejudsi.kr/issue/L4bP/PROJECT,[],,
jejudsi_AK4Y,,농축수산,,기간종료,,,,,https://jejudsi.kr/issue/Ak4y/PROJECT,[],,
jejudsi_LY8D,,농축수산,,기간종료,,,,,https://jejudsi.kr/issue/LY8D/PROJECT,[],,
jejudsi_RPXV,,농축수산,,기간종료,,,,,https://jejudsi.kr/issue/RpXV/PROJECT,[],,
jejudsi_R2Q5,,농축수산,,기간종료,,,,,https://jejudsi.kr/issue/R2Q5/PROJECT,[],,
