지역명, 기사제목, 기자이름, 날짜, 링크
대구,"태왕아너스 유지나, KLPGA 드림투어 6차전서 생애 '첫 우승'",일간경북신문 - 박정수기자,6호,http://www.kbsm.net/news/view.php?idx=393128
대구,[동정] 홍준표 대구시장,일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=393127
대구,[동정] 최재훈 대구달성군수,일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=393123
대구,"성서경찰서, 어린이보호구역 현장 간담회 개최",일간경북신문 - 박정수기자,6호,http://www.kbsm.net/news/view.php?idx=393122
대구,"항공기 비상문 강제개방 30대 구속…""아이들에게 미안""",일간경북신문 - 전수정기자,2023/05/29,http://www.kbsm.net/news/view.php?idx=393113
대구,"달성군 새마을회, 이주여성 위한 미니화단 조성 행사 벌여",일간경북신문 - 김범수기자,2023/05/28,http://www.kbsm.net/news/view.php?idx=393087
대구,[오늘 날씨] 대구·경북 흐리고 연휴 내내 빗방울...최대 80mm,일간경북신문 - 황수진기자,2023/05/28,http://www.kbsm.net/news/view.php?idx=393073
대구,"경찰, 아시아나 항공기 비상구 연 30대 구속영장 신청",일간경북신문 - 전수정기자,2023/05/28,http://www.kbsm.net/news/view.php?idx=393072
대구,"아시아나 비상구 연 30대 ""실직 스트레스, 빨리 내리고 싶었다""",일간경북신문 - 전수정기자,2023/05/27,http://www.kbsm.net/news/view.php?idx=393070
대구,"""환상적인 동심의 세계로 초대""···수성아트피아, 스노우쇼 공연",일간경북신문 - 전수정기자,6호,http://www.kbsm.net/news/view.php?idx=393059
대구,"조국, 대구서 북콘서트... ""딸 때문에 다른 사람 떨어진 적 없다""",일간경북신문 - 전수정기자,2023/05/27,http://www.kbsm.net/news/view.php?idx=393058
대구,"경찰, 아시아나機 비상문 연 30대 1차 조사 완료…병원 입원 9명, 모두 퇴원",일간경북신문 - 전수정기자,2023/05/27,http://www.kbsm.net/news/view.php?idx=393053
대구,"대구경찰, 아시아나 여객기 착륙 중 탑승구 개방한 30대 검거",일간경북신문 - 전수정기자,2023/05/26,http://www.kbsm.net/news/view.php?idx=393046
대구,"아시아나기, 30대 난동에 문 열린채 대구공항 착륙...승객 9명 병원 이송",일간경북신문 - 전수정기자,2023/05/26,http://www.kbsm.net/news/view.php?idx=393045
대구,"HWPL 대구경북지부, 세계평화 선언 10주년 기념식 개최",일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=393031
대구,"아시아나 여객기, 대구공항 착륙 직전 상공서 문열려…일부 승객 병원행",일간경북신문 - 전수정기자,2023/05/26,http://www.kbsm.net/news/view.php?idx=393030
대구,"[속보] 대구공항 ""아시아나기 안전 착륙…추락자는 없어""",일간경북신문 - 전수정기자,2023/05/26,http://www.kbsm.net/news/view.php?idx=393029
대구,"[속보] 대구공항 ""아시아나기 상공서 문열려…승객 6명 호흡곤란""",일간경북신문 - 전수정기자,2023/05/26,http://www.kbsm.net/news/view.php?idx=393028
대구,대구 '코로나19' 확진자 731명...사망 2명,일간경북신문 - 전수정기자,2023/05/26,http://www.kbsm.net/news/view.php?idx=393010
대구,"대구 북구의회, 시민안전테마파크 재난상황 대처 교육",일간경북신문 - 김범수기자,2023/05/26,http://www.kbsm.net/news/view.php?idx=393009
대구,"환경공단 대구경북환경본부, 탄소중립실천 캠페인·환경정화활동",일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=393006
대구,"건보공단 대경본부, 가정의 달 맞이 '건이강이 사랑꾸러미' 전달",일간경북신문 - 박정수기자,2023/05/26,http://www.kbsm.net/news/view.php?idx=393004
대구,"용평리조트, 가정의 달 맞아 무료 숙박권 지원",일간경북신문 - 박정수기자,2023/05/26,http://www.kbsm.net/news/view.php?idx=393002
대구,"대구 엘더스클럽, 경산 어르신 시설 찾아 위문공연",일간경북신문 - 전수정기자,5호,http://www.kbsm.net/news/view.php?idx=392989
대구,"대구시의회, 농번기 농촌일손돕기 구슬땀",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392979
대구,"대경중기청, 26일 칠성종합시장 ‘별별상상 야외무대’ 개장",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392976
대구,"대구 서구 비원뮤직홀, 독일 가곡의 밤 개최",일간경북신문 - 전수정기자,5호,http://www.kbsm.net/news/view.php?idx=392974
대구,"대구도시개발공사-계명문화대, 응급처치 능력 향상 '맞손'",일간경북신문 - 박정수기자,5호,http://www.kbsm.net/news/view.php?idx=392969
대구,"대구조달청, 대구·경북 전문건설협회와 간담회",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392968
대구,"영남대의료원, 대구 남구청에 사랑의 쌀 기탁",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392961
대구,"대구 동구, 팔공메아리·SNS기자단 모집",일간경북신문 - 전수정기자,5호,http://www.kbsm.net/news/view.php?idx=392958
대구,"대구시, 자율주행로봇 산업 육성 '박차'",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392957
대구,"대구시-군위군, 과장급 실무회의···상생협력 강화",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392954
대구,"대구 수성구자원봉사센터, 자원봉사 체험부스 운영",일간경북신문 - 전수정기자,5호,http://www.kbsm.net/news/view.php?idx=392948
대구,"대구시, 수성알파시티에 ‘DGIST AI·SW 교육연구센터’ 개소",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392945
대구,"대구 달서구, AI 돌봄인형 입양식 추진",일간경북신문 - 전수정기자,5호,http://www.kbsm.net/news/view.php?idx=392940
대구,"대구환경청, 권역별 하수도 예산 조기 집행 지원",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392938
대구,"대구문화예술회관, 한국무용 '각자의 언어' 공연",일간경북신문 - 전수정기자,5호,http://www.kbsm.net/news/view.php?idx=392935
대구,"달성군립도서관, 홍익대와 함께 어린이 생애 첫 그림책 발간",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392931
대구,"달성군, 논공읍 위천리에 18홀 규모 파크골프장 개장",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392929
대구,"대구시, 창작자의 권리 보호 저작권 교육",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392924
대구,"홍원화 경북대 총장, 마약 범죄 예방 캠페인 동참",일간경북신문 - 박정수기자,5호,http://www.kbsm.net/news/view.php?idx=392921
대구,"계명대 여성학연구소, 20주년 기념 학술대회 개최",일간경북신문 - 박정수기자,5호,http://www.kbsm.net/news/view.php?idx=392920
대구,"수능 6월 모의고사, 내달 1일 시행···대구 2만481명 응시",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392919
대구,"DGB대구은행·중기융합대구경북연합회, 지역 중소기업 지원 상생 협약",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392896
대구,"대구 북구, 지리산 청정골서 '청렴문화 체험교육'",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392890
대구,대구 '코로나19' 확진자 816명...사망 없어,일간경북신문 - 전수정기자,2023/05/25,http://www.kbsm.net/news/view.php?idx=392887
대구,[동정] 배광식 대구북구청장,일간경북신문 - 김범수기자,2023/05/25,http://www.kbsm.net/news/view.php?idx=392884
대구,[동정] 최재훈 대구달성군수,일간경북신문 - 김범수기자,2023/05/25,http://www.kbsm.net/news/view.php?idx=392881
대구,"대구상의, 청년 ‘All in One 취업아카데미’ 추진",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392875
대구,"한국교육학술정보원, 인도네시아 초등 분야 에듀테크 수업모형 개발 사업 추진",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392873
대구,"대구본부세관, 세관 사칭 문자메시지 주의보 발령",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392872
대구,"대구환경청, 토종식물 씨 말리는가시박 제거 총력",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392868
대구,"다이텍연구원, ‘섬유소재개발 디지털 전환 교육’ 개설",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392867
대구,"도로공사서비스 대구경북영업센터·대구적십자, 행복한 밥상 봉사활동",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392865
대구,"한국폴리텍 영남융합기술캠퍼스, 일학습병행 활성화 간담회",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392864
대구,"대구외곽순환고속도로, 칠곡졸음쉼터 전기차 충전 서비스 개시",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392863
대구,"영남이공대, 전국Y자랑 댄스·가요 경연대회 '성료'",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392862
대구,"대구교통공사, 지역아동센터 어린이 초청 행사",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392861
